ABLIM1	chr10:114447880-114448020	chr10:-:114445880:114450020
SHTN1	chr10:116901765-116901957	chr10:-:116899765:116903957
SHTN1_2	chr10:116906627-116906747	chr10:-:116904627:116908747
ABI1	chr10:26771075-26771089	chr10:-:26769075:26773089
CREM	chr10:35211254-35211389	chr10:+:35209254:35213389
SLC25A16	chr10:68517084-68517293	chr10:-:68515084:68519293
CCSER2	chr10:84499911-84499959	chr10:+:84497911:84501959
SORBS1	chr10:95414494-95414862	chr10:-:95412494:95416862
PTS	chr11:112230208-112230230	chr11:+:112228208:112232230
CADM1	chr11:115190888-115190941	chr11:+:115188888:115192941
CADM1_2	chr11:115209574-115209657	chr11:-:115207574:115211657
SIK3	chr11:116867946-116868074	chr11:-:116865946:116870074
ROBO3	chr11:124877161-124877184	chr11:+:124875161:124879184
NTM	chr11:132330153-132330185	chr11:+:132328153:132332185
ALKBH3	chr11:43892041-43892129	chr11:+:43890041:43894129
